transaction_amount,transaction_frequency,transaction_hour,pin_attempts,device_change_count,new_recipient,location_change,upi_id_age_days,avg_transaction_amount,state,merchant_category,dob_year,is_fraud
571.45,8,11,1,1,0,1,183,197.37,Rajasthan,Food,1970,0
753.66,2,19,1,1,0,0,450,462.84,Gujarat,Utilities,1990,0
1901.09,10,0,2,0,0,1,32,12339.34,Gujarat,Utilities,1977,1
495.0,4,18,1,0,0,1,61,247.04,Rajasthan,Entertainment,1990,0
82.4,3,8,1,0,0,0,171,426.38,Maharashtra,Food,1980,0
655.86,3,11,1,1,0,1,673,1158.75,Kerala,Entertainment,1975,0
522.8,9,12,1,1,0,1,628,699.68,Maharashtra,Utilities,1981,0
447.06,3,18,1,1,0,0,564,530.17,Rajasthan,Grocery,1978,0
619.35,5,15,1,0,0,0,65,419.25,Uttar Pradesh,Entertainment,1998,0
229.96,1,16,1,0,0,1,379,629.6,Telangana,Fuel,1994,0
1021.42,19,0,1,0,1,2,50,13786.59,Gujarat,Food,1981,1
183.32,8,17,1,0,0,0,640,505.23,Rajasthan,Electronics,1975,0
1899.87,9,11,1,1,0,0,15,564.15,Tamil Nadu,Utilities,1989,0
92.74,7,15,1,1,0,1,223,2080.25,Maharashtra,Electronics,1980,0
796.85,1,21,1,0,0,0,474,3716.76,Karnataka,Grocery,1979,0
198.33,7,20,1,0,0,1,1,1184.3,Uttar Pradesh,Entertainment,1985,0
5588.71,4,17,1,1,0,0,345,2698.72,Maharashtra,Food,1994,0
1044.76,6,15,1,1,0,0,285,2324.86,Tamil Nadu,Utilities,1981,0
1051.02,3,18,1,1,0,0,123,1212.98,Karnataka,Entertainment,1978,0
1271.42,3,17,1,0,0,1,359,579.03,Telangana,Education,1973,0
1835.71,7,11,1,1,0,0,562,1350.47,Tamil Nadu,Electronics,1995,0
1452.97,2,18,1,0,0,1,662,924.3,Delhi,Healthcare,1989,0
1240.71,4,19,1,1,0,1,294,2015.72,Telangana,Grocery,1970,0
1103.94,4,20,1,0,0,0,143,957.72,Maharashtra,Education,1976,0
559.55,6,12,1,1,0,1,241,2576.71,Uttar Pradesh,Grocery,1988,0
1066.01,6,18,1,1,0,0,642,2723.04,Tamil Nadu,Travel,1989,0
1654.7,1,21,1,1,0,1,355,159.39,Tamil Nadu,Grocery,1977,0
1255.5,3,13,1,0,0,1,438,1048.14,West Bengal,Healthcare,1982,0
440.59,7,7,1,1,0,0,708,280.94,West Bengal,Grocery,1996,0
2230.68,7,21,1,1,0,1,45,1170.15,Tamil Nadu,Healthcare,1985,0
614.27,4,6,1,0,0,1,616,292.15,Uttar Pradesh,Entertainment,1992,0
418.03,3,13,1,0,0,0,386,1976.57,Rajasthan,Utilities,1981,0
2183.92,5,14,1,1,0,1,300,2337.5,Telangana,Education,1970,0
18.22,2,19,1,1,0,1,233,153.64,Rajasthan,Fuel,1984,0
2639.53,6,14,1,1,0,1,354,65.39,Tamil Nadu,Travel,1980,0
86.06,4,7,1,1,0,0,436,3142.75,Tamil Nadu,Electronics,1996,0
1781.79,6,11,1,1,0,0,215,601.27,Tamil Nadu,Food,1976,0
1983.23,4,21,1,1,0,0,30,67.49,West Bengal,Fuel,1971,0
5056.75,9,14,1,1,0,0,95,187.41,Uttar Pradesh,Grocery,1981,0
2992.46,27,2,3,1,1,0,30,10583.92,Telangana,Fuel,1980,1
606.79,6,16,1,1,0,1,394,91.43,Uttar Pradesh,Food,1994,0
1890.81,6,18,1,1,0,1,526,736.01,West Bengal,Travel,1987,0
589.54,4,15,1,0,0,1,702,384.27,Tamil Nadu,Entertainment,1983,0
1214.05,9,10,1,1,0,1,576,112.48,Telangana,Clothing,1998,0
190.98,6,20,1,0,0,1,365,270.35,Kerala,Food,1995,0
47.56,5,17,1,1,0,1,229,10.0,Delhi,Travel,1979,0
887.62,1,10,1,1,0,1,42,3267.37,Maharashtra,Clothing,1999,0
335.53,8,17,1,1,0,1,37,48.05,Kerala,Grocery,1979,0
1210.44,4,19,1,1,0,0,690,3842.52,Delhi,Grocery,1996,0
316.29,6,16,1,1,0,1,134,10.0,Delhi,Education,1989,0
13.97,5,8,1,1,0,1,586,901.82,Delhi,Healthcare,1981,0
2059.49,4,15,1,1,0,1,638,3272.59,Rajasthan,Fuel,1983,0
513.23,4,9,1,1,0,1,264,2433.19,Delhi,Utilities,1973,0
527.78,2,18,1,1,0,1,728,1369.8,Maharashtra,Utilities,1994,0
3136.7,9,16,1,1,0,1,394,340.23,West Bengal,Healthcare,1985,0
816.11,3,18,1,0,0,0,221,1055.88,Karnataka,Electronics,1990,0
12413.34,18,23,2,1,0,0,9,107.95,Delhi,Electronics,1992,1
645.84,3,20,1,1,0,1,426,1968.6,Kerala,Grocery,1990,0
2377.09,4,18,1,1,0,1,441,286.27,Delhi,Food,1972,0
347.81,3,11,1,1,0,1,56,294.11,Rajasthan,Healthcare,1990,0
304.28,7,15,1,0,0,1,504,357.59,Kerala,Travel,1975,0
244.71,9,8,1,0,0,0,467,1162.68,Telangana,Electronics,1972,0
539.27,2,11,1,1,0,0,642,1391.68,Tamil Nadu,Electronics,1977,0
516.27,8,15,1,0,0,0,17,2682.36,Uttar Pradesh,Food,1991,0
1197.15,8,15,1,0,0,1,421,773.91,Tamil Nadu,Healthcare,1972,0
499.17,7,14,1,1,0,1,73,10.0,Uttar Pradesh,Healthcare,1992,0
558.56,6,18,1,1,0,0,429,708.0,Tamil Nadu,Fuel,1997,0
3267.99,1,15,1,1,0,0,583,145.97,Rajasthan,Fuel,1997,0
4540.77,1,17,1,1,0,1,81,562.23,Rajasthan,Clothing,1990,0
1402.93,2,19,1,1,0,0,134,2662.99,West Bengal,Utilities,1997,0
387.03,6,7,1,1,0,0,413,538.42,Gujarat,Grocery,1991,0
3128.63,24,4,1,2,0,2,18,6138.67,Telangana,Fuel,1986,1
381.11,1,18,1,0,0,1,489,560.26,Tamil Nadu,Clothing,1984,0
24.32,4,10,1,1,0,1,146,403.82,Karnataka,Electronics,1981,0
312.65,3,20,1,1,0,0,133,1189.08,Uttar Pradesh,Electronics,1997,0
1524.15,7,22,3,0,0,0,11,6725.7,Karnataka,Clothing,1986,1
57.76,6,16,1,0,0,0,174,1922.34,Uttar Pradesh,Travel,1979,0
149.23,6,16,1,0,0,0,719,1314.29,West Bengal,Travel,1983,0
33.83,7,11,1,0,0,1,630,146.34,Tamil Nadu,Electronics,1988,0
854.75,14,5,2,0,0,0,6,204.48,Gujarat,Education,1980,1
819.4,4,18,1,1,0,0,512,2209.94,Telangana,Healthcare,1996,0
1365.66,2,9,1,0,0,1,467,609.89,Rajasthan,Healthcare,1994,0
1189.65,1,22,4,0,1,2,53,7994.56,Gujarat,Utilities,1989,1
2678.54,5,7,1,1,0,0,117,2394.0,Rajasthan,Fuel,1980,0
199.21,6,21,1,0,0,0,189,920.89,Tamil Nadu,Entertainment,1987,0
2039.14,3,10,1,0,0,0,313,596.4,Karnataka,Electronics,1999,0
1734.46,7,14,1,0,0,1,127,1235.58,Karnataka,Food,1974,0
1218.1,5,19,1,0,0,1,419,932.76,Telangana,Healthcare,1998,0
550.54,3,9,1,1,0,1,565,161.0,Gujarat,Grocery,1990,0
1043.58,3,20,1,0,0,1,135,1689.38,Karnataka,Education,1973,0
217.37,9,7,1,1,0,1,137,1293.03,Rajasthan,Clothing,1992,0
505.11,4,11,1,1,0,0,93,1873.7,Uttar Pradesh,Electronics,1985,0
1807.86,2,18,1,0,0,0,84,4996.2,Telangana,Utilities,1999,0
1579.49,1,8,1,1,0,1,678,950.12,Kerala,Grocery,1999,0
3595.33,1,12,1,1,0,1,696,143.92,Rajasthan,Clothing,1974,0
177.26,6,15,1,1,0,0,699,1353.85,Tamil Nadu,Food,1986,0
6321.03,15,1,3,2,1,0,20,1884.18,Telangana,Food,1975,1
33.24,5,20,1,1,0,1,150,1550.29,Uttar Pradesh,Food,1998,0
771.38,6,6,1,1,0,1,708,603.59,Uttar Pradesh,Utilities,1976,0
3426.6,13,1,1,1,0,1,21,412.35,Maharashtra,Grocery,1982,1
1123.76,2,19,1,0,0,1,434,467.94,Gujarat,Food,1973,0
311.22,6,8,1,0,0,0,39,3748.48,Gujarat,Fuel,1983,0
1998.21,12,0,3,2,0,0,20,219.79,West Bengal,Food,1991,1
1270.91,5,13,1,1,0,1,381,139.26,Rajasthan,Utilities,1996,0
5339.25,19,23,4,0,0,0,25,467.99,Maharashtra,Fuel,1989,1
738.54,3,12,1,1,0,0,578,1876.4,Maharashtra,Electronics,1981,0
582.87,2,12,1,0,0,1,296,1678.42,West Bengal,Electronics,1976,0
1223.78,5,19,1,0,0,0,80,138.36,Delhi,Education,1993,0
545.91,5,10,1,1,0,0,268,144.44,Karnataka,Fuel,1987,0
3226.61,3,16,1,1,0,1,379,792.78,Karnataka,Utilities,1987,0
3679.83,5,8,1,0,0,0,385,120.59,Gujarat,Fuel,1987,0
137.71,8,6,1,1,0,0,117,311.79,Delhi,Healthcare,1975,0
2318.24,3,14,1,1,0,0,215,1245.59,Maharashtra,Electronics,1986,0
1470.07,23,22,3,0,0,0,3,1426.94,Uttar Pradesh,Travel,1997,1
3550.72,3,4,4,1,0,0,37,1287.44,Telangana,Fuel,1979,1
486.29,4,20,1,0,0,1,504,174.3,Maharashtra,Grocery,1999,0
1375.2,8,6,1,1,0,1,659,5036.55,Karnataka,Clothing,1975,0
2562.86,5,20,1,1,0,1,678,593.96,Gujarat,Education,1994,0
117.04,5,14,1,1,0,0,447,274.17,Kerala,Fuel,1979,0
209.83,2,10,1,0,0,0,557,2134.76,Kerala,Grocery,1996,0
951.08,4,14,1,1,0,0,72,924.1,Rajasthan,Utilities,1984,0
751.5,2,8,1,0,0,0,337,501.86,Maharashtra,Education,1994,0
1237.18,8,17,1,1,0,0,722,184.68,Uttar Pradesh,Entertainment,1996,0
4459.13,5,11,1,1,0,0,530,2316.51,Karnataka,Travel,1971,0
590.85,5,21,1,1,0,0,33,649.62,Rajasthan,Utilities,1976,0
382.14,29,0,3,1,0,2,42,19879.72,Kerala,Grocery,1989,1
2657.87,1,6,1,0,0,1,272,699.04,Telangana,Entertainment,1977,0
957.5,7,8,1,0,0,0,584,3233.47,Delhi,Education,1990,0
8421.55,22,23,4,2,0,2,46,2465.44,Gujarat,Food,1985,1
1391.52,9,8,1,1,0,0,404,764.52,Maharashtra,Clothing,1988,0
198.87,3,11,1,0,0,0,207,176.84,Telangana,Food,1994,0
225.17,3,16,1,0,0,0,47,1137.28,Telangana,Clothing,1987,0
52.79,3,17,1,0,0,1,212,2085.81,West Bengal,Clothing,1979,0
1141.14,6,16,1,0,0,0,447,483.35,Gujarat,Utilities,1994,0
482.79,5,20,1,1,0,0,123,118.98,Gujarat,Food,1979,0
184.91,3,14,1,0,0,1,260,613.91,Karnataka,Healthcare,1973,0
522.95,8,12,1,1,0,0,521,1315.86,Uttar Pradesh,Food,1973,0
766.16,6,19,1,1,0,1,267,10.4,Uttar Pradesh,Education,1979,0
599.18,9,8,1,1,0,0,223,728.37,Rajasthan,Food,1990,0
1674.94,5,18,1,1,0,0,702,1087.78,Kerala,Grocery,1986,0
1028.68,9,14,1,1,0,0,584,3037.64,Maharashtra,Healthcare,1977,0
2355.52,5,2,4,2,1,2,20,4300.32,Tamil Nadu,Education,1987,1
4523.06,6,12,1,0,0,0,326,1025.85,Tamil Nadu,Utilities,1988,0
1085.3,9,13,1,1,0,1,417,1137.91,Kerala,Education,1972,0
15648.66,20,1,1,1,0,0,18,5326.17,Gujarat,Clothing,1974,1
694.23,1,8,1,0,0,1,508,1213.87,Telangana,Fuel,1981,0
4867.25,10,1,3,2,0,0,54,62.91,Telangana,Education,1983,1
104.34,4,14,1,1,0,0,20,189.79,Tamil Nadu,Fuel,1990,0
5130.31,6,3,2,2,1,2,57,10901.26,Tamil Nadu,Healthcare,1971,1
1135.19,4,15,1,0,0,0,296,548.37,Delhi,Healthcare,1988,0
924.64,5,12,1,1,0,0,541,10.0,Telangana,Fuel,1992,0
342.36,2,9,1,0,0,1,51,378.63,Gujarat,Travel,1978,0
1841.03,3,10,1,0,0,1,82,859.3,Tamil Nadu,Electronics,1986,0
106.13,3,12,1,1,0,0,444,237.94,Rajasthan,Education,1976,0
916.27,5,21,1,1,0,1,414,1398.49,West Bengal,Electronics,1971,0
4343.14,8,16,1,1,0,1,556,262.79,Karnataka,Travel,1976,0
1942.95,3,12,1,1,0,1,8,3946.27,Tamil Nadu,Travel,1980,0
1089.59,5,11,1,0,0,0,156,10.0,Maharashtra,Food,1970,0
2083.36,8,6,1,0,0,0,17,637.24,Rajasthan,Grocery,1988,0
2106.98,6,19,1,1,0,0,429,640.75,Telangana,Clothing,1973,0
201.05,3,12,1,0,0,0,533,1367.46,Karnataka,Utilities,1981,0
10.0,7,18,1,1,0,1,529,1283.96,Kerala,Fuel,1997,0
71.2,7,8,1,0,0,1,563,415.82,Rajasthan,Electronics,1982,0
825.95,4,10,1,1,0,1,372,523.21,Delhi,Entertainment,1978,0
299.3,7,18,1,1,0,0,463,213.97,Kerala,Grocery,1993,0
155.01,2,11,1,0,0,1,50,641.13,Telangana,Entertainment,1983,0
407.64,2,13,1,1,0,0,30,248.62,Gujarat,Entertainment,1987,0
3314.71,7,20,1,0,0,0,727,1080.46,Delhi,Utilities,1980,0
1745.46,3,11,1,1,0,0,372,1677.23,Tamil Nadu,Healthcare,1982,0
94.98,4,17,1,1,0,0,613,195.35,Telangana,Electronics,1994,0
848.92,18,0,3,1,1,1,54,9447.65,Gujarat,Clothing,1985,1
440.08,2,16,1,1,0,1,454,1311.15,Karnataka,Fuel,1990,0
2147.08,3,16,1,1,0,1,400,98.89,Delhi,Fuel,1970,0
11.19,6,10,1,0,0,0,123,280.62,Karnataka,Entertainment,1999,0
3540.15,8,8,1,0,0,0,206,819.66,Uttar Pradesh,Electronics,1996,0
811.32,1,21,1,0,0,1,504,1804.66,Maharashtra,Grocery,1997,0
497.06,6,8,1,1,0,0,597,189.44,Rajasthan,Healthcare,1974,0
118.65,8,21,1,1,0,1,145,79.7,Kerala,Utilities,1971,0
1662.23,5,14,1,0,0,0,69,4431.88,Tamil Nadu,Education,1992,0
1045.15,8,7,1,1,0,1,215,369.07,Kerala,Food,1992,0
760.28,3,10,1,1,0,1,4,131.9,Kerala,Healthcare,1971,0
6569.97,13,0,2,1,0,1,50,4781.55,Tamil Nadu,Entertainment,1998,1
122.32,9,13,1,0,0,1,171,194.36,Rajasthan,Food,1983,0
490.18,5,11,1,0,0,1,118,1907.57,Rajasthan,Electronics,1979,0
1882.49,8,15,1,0,0,1,487,435.97,Uttar Pradesh,Fuel,1984,0
1267.06,7,16,1,0,0,0,685,1052.34,Karnataka,Fuel,1991,0
982.12,8,19,1,0,0,1,98,438.65,Uttar Pradesh,Education,1971,0
646.59,8,8,1,1,0,0,69,921.86,Karnataka,Utilities,1985,0
98.75,2,12,1,1,0,1,441,191.1,Telangana,Utilities,1999,0
432.47,1,16,1,0,0,1,726,783.53,Gujarat,Fuel,1999,0
6459.78,13,2,3,2,1,2,56,3565.79,Kerala,Travel,1992,1
179.57,8,7,1,0,0,1,319,1313.93,Gujarat,Grocery,1990,0
821.42,9,18,1,1,0,0,384,846.24,Uttar Pradesh,Travel,1973,0
3180.03,3,7,1,1,0,0,482,59.85,Karnataka,Fuel,1992,0
214.13,4,21,1,0,0,0,651,824.33,Rajasthan,Grocery,1995,0
2645.75,3,10,1,1,0,1,632,326.32,Uttar Pradesh,Clothing,1987,0
122.02,9,14,1,0,0,1,722,1122.84,Telangana,Electronics,1971,0
1438.76,4,14,1,1,0,0,390,114.17,Kerala,Clothing,1988,0
1684.31,1,14,1,0,0,1,398,747.13,Telangana,Utilities,1995,0
2966.83,3,19,1,0,0,1,496,124.66,Tamil Nadu,Electronics,1986,0
781.58,2,15,1,1,0,0,323,937.28,Rajasthan,Grocery,1983,0
373.7,5,9,1,1,0,1,111,673.52,Maharashtra,Grocery,1974,0
57.2,5,10,1,0,0,1,654,1736.43,Karnataka,Travel,1999,0
368.6,9,6,1,1,0,0,405,1577.15,Maharashtra,Education,1979,0
138.8,4,9,1,1,0,1,425,53.25,Gujarat,Healthcare,1978,0
1220.47,1,16,1,0,0,0,638,31.62,Rajasthan,Food,1983,0
460.87,4,10,1,0,0,1,337,437.05,Karnataka,Entertainment,1995,0
842.95,4,12,1,1,0,1,81,513.58,Karnataka,Healthcare,1992,0
3417.0,2,15,1,1,0,0,549,216.01,Uttar Pradesh,Entertainment,1993,0
834.32,6,17,1,1,0,0,401,134.01,West Bengal,Utilities,1981,0
480.45,1,19,1,0,0,1,525,3327.73,Delhi,Healthcare,1985,0
890.88,3,15,1,1,0,0,610,2117.32,Uttar Pradesh,Entertainment,1987,0
329.08,3,17,1,1,0,0,544,1339.71,Kerala,Healthcare,1992,0
2139.15,1,23,4,0,1,1,15,3649.57,Gujarat,Fuel,1973,1
962.45,6,19,1,0,0,1,521,2794.79,Gujarat,Clothing,1982,0
38.94,5,14,1,1,0,0,683,1947.31,Uttar Pradesh,Fuel,1995,0
605.18,4,13,1,1,0,0,110,2182.76,Telangana,Food,1980,0
2586.68,5,19,1,1,0,1,549,95.4,Delhi,Healthcare,1975,0
48.54,8,12,1,1,0,0,259,87.55,Gujarat,Utilities,1987,0
3914.79,4,15,1,1,0,0,590,699.1,Kerala,Grocery,1995,0
1930.66,15,2,3,2,1,0,21,401.08,Rajasthan,Education,1995,1
1294.32,8,10,1,0,0,1,612,219.87,Gujarat,Education,1993,0
730.98,8,12,1,0,0,1,189,1148.8,Telangana,Healthcare,1984,0
45.72,1,18,1,1,0,0,243,17.98,West Bengal,Electronics,1982,0
43.03,3,20,1,1,0,1,157,1755.4,Kerala,Clothing,1978,0
670.53,2,12,1,0,0,1,349,1032.3,Uttar Pradesh,Fuel,1976,0
445.41,1,9,1,0,0,1,494,1246.03,Kerala,Electronics,1996,0
2176.17,9,14,1,1,0,1,22,1966.05,Kerala,Clothing,1997,0
431.89,3,7,1,0,0,0,282,667.04,Uttar Pradesh,Healthcare,1992,0
388.53,8,20,1,1,0,0,376,42.49,Kerala,Healthcare,1981,0
16.94,5,11,1,0,0,1,406,1624.11,Gujarat,Electronics,1993,0
483.27,9,17,1,0,0,0,693,1124.31,Telangana,Utilities,1976,0
688.2,4,19,1,1,0,0,685,1575.36,Rajasthan,Education,1998,0
1824.33,5,10,1,1,0,1,385,1128.08,Uttar Pradesh,Electronics,1970,0
1296.28,6,13,1,0,0,0,393,1221.27,Maharashtra,Fuel,1987,0
139.05,4,11,1,1,0,1,450,2714.52,Delhi,Education,1991,0
1247.8,5,20,1,1,0,0,643,45.98,West Bengal,Entertainment,1973,0
487.63,5,21,1,1,0,1,36,3102.66,Tamil Nadu,Electronics,1997,0
1245.77,2,19,1,1,0,1,53,1207.78,Kerala,Fuel,1996,0
869.12,4,7,1,1,0,0,334,1337.19,Tamil Nadu,Healthcare,1975,0
63.97,7,11,1,0,0,1,540,171.49,Gujarat,Electronics,1973,0
3499.7,7,18,1,1,0,0,510,385.71,Karnataka,Entertainment,1985,0
1630.09,5,17,1,1,0,1,443,2917.15,Tamil Nadu,Utilities,1988,0
1095.27,11,22,1,2,0,0,9,1848.55,Karnataka,Healthcare,1979,1
548.38,2,21,1,0,0,0,268,314.48,Maharashtra,Utilities,1978,0
350.41,5,16,1,1,0,0,463,1155.53,Uttar Pradesh,Utilities,1975,0
287.0,9,16,1,1,0,1,262,205.82,Uttar Pradesh,Entertainment,1974,0
42.01,5,8,1,0,0,0,679,973.1,Delhi,Healthcare,1979,0
813.35,7,20,1,0,0,0,504,719.0,Delhi,Clothing,1975,0
1273.16,4,7,1,1,0,1,663,70.15,Kerala,Fuel,1975,0
4870.59,1,21,1,0,0,1,499,324.91,West Bengal,Utilities,1997,0
1972.73,7,14,1,0,0,1,314,1946.61,Maharashtra,Food,1980,0
762.38,6,9,1,0,0,1,306,25.22,Gujarat,Grocery,1983,0
3043.18,10,3,1,2,0,2,47,3251.94,Uttar Pradesh,Grocery,1996,1
3105.13,5,11,1,1,0,0,611,343.44,Karnataka,Food,1980,0
1848.22,9,13,1,0,0,1,682,1137.45,West Bengal,Electronics,1993,0
960.09,1,8,1,1,0,0,250,708.54,Maharashtra,Education,1971,0
1285.45,7,21,1,1,0,1,306,410.29,Delhi,Healthcare,1993,0
1129.16,4,20,1,0,0,0,53,1531.66,West Bengal,Clothing,1989,0
612.77,5,10,1,1,0,0,313,111.84,West Bengal,Travel,1974,0
746.1,8,7,1,0,0,0,34,749.34,Tamil Nadu,Utilities,1974,0
337.66,2,18,1,1,0,0,73,371.53,West Bengal,Entertainment,1971,0
1389.58,6,10,1,0,0,0,127,170.18,Gujarat,Food,1972,0
3575.53,9,19,1,1,0,0,239,3247.28,Maharashtra,Food,1976,0
2161.24,4,12,1,0,0,1,275,33.91,Uttar Pradesh,Food,1991,0
1107.77,1,8,1,1,0,0,542,1281.73,West Bengal,Education,1983,0
314.3,8,21,1,1,0,1,183,10.0,Rajasthan,Travel,1989,0
298.91,3,10,1,0,0,0,605,362.65,Kerala,Entertainment,1984,0
871.13,7,19,1,0,0,0,25,2831.02,Uttar Pradesh,Fuel,1981,0
1047.32,6,21,1,0,0,0,344,3451.78,Karnataka,Fuel,1987,0
1916.88,7,20,1,0,0,1,31,99.91,Tamil Nadu,Healthcare,1987,0
451.79,9,19,1,1,0,1,401,1450.65,West Bengal,Fuel,1974,0
407.15,3,19,1,1,0,1,259,77.37,West Bengal,Clothing,1980,0
2533.98,7,18,1,1,0,1,603,503.35,Karnataka,Education,1974,0
1445.11,2,20,1,0,0,1,707,742.8,Rajasthan,Food,1999,0
26.28,3,13,1,1,0,0,636,371.08,Uttar Pradesh,Electronics,1993,0
2597.16,7,8,1,1,0,0,277,2017.09,Kerala,Entertainment,1986,0
2173.59,9,19,1,1,0,1,206,3748.42,Tamil Nadu,Education,1977,0
910.19,6,16,1,0,0,1,415,224.92,Delhi,Grocery,1989,0
288.46,4,15,1,1,0,1,701,29.85,West Bengal,Education,1981,0
132.23,1,7,1,1,0,1,579,882.96,Delhi,Utilities,1986,0
49.04,4,9,1,1,0,0,147,148.17,Tamil Nadu,Entertainment,1975,0
1090.45,1,14,1,1,0,0,408,187.32,Karnataka,Travel,1995,0
435.63,2,18,1,0,0,0,313,452.36,West Bengal,Electronics,1979,0
1442.0,9,18,1,0,0,1,203,1970.33,Uttar Pradesh,Education,1990,0
2826.63,2,7,1,1,0,0,301,478.52,West Bengal,Utilities,1983,0
777.23,5,11,1,1,0,0,102,870.12,Uttar Pradesh,Entertainment,1978,0
49.25,1,14,1,0,0,0,60,1265.32,Rajasthan,Healthcare,1979,0
1652.99,2,16,1,0,0,0,64,1011.97,Rajasthan,Entertainment,1997,0
2158.53,8,11,1,1,0,1,291,104.85,Kerala,Fuel,1985,0
